estimand,method,Reps,Bias,Coverage
RMST A1,pointwise,150,36.3453800743029,0.886666666666667
RMST A1,direct,150,-2.43779685197475,0.946666666666667
RMST A0,pointwise,150,30.1199989051463,0.866666666666667
RMST A0,direct,150,-1.58850438207337,0.94
LYL1 A1,pointwise,150,-24.6197516704461,0.913333333333333
LYL1 A1,direct,150,4.98107888080244,0.94
